a 아
i 이
u 우
e 에
o 오
ka 카
ki 키
ku 쿠
ke 케
ko 코
ga 가
gi 기
gu 구
ge 게
go 고
sa 사
shi 시
su 스
se 세
so 소
za 자
zi 지
ji 지
zu 즈
ze 제
zo 조 
ta 타
ti 티
chi 치
tsu 츠
te 테
to 토
cho 쵸
da 다
di 디
du 드
de 데
do 도
na 나
ni 니
nu 누
ne 네
no 노
ha 하
hi 히
hu 후
he 헤
ho 호
ba 바
bi 비
bu 부
be 베
bee 베
bo 보
pa 파
phi 피
pu 프
pe 페
po 포
ma 마
mi 미
mu 무
me 메
mo 모
ya 야
yo 요
yu 유
ra 라
ri 리
ru 루
re 레
ro 로
wa 와
an 안
in 인
un 운
en 엔
on 온
kan 칸
kin 킨
kun 쿤
ken 켄
kon 콘
gan 간
gin 긴
gun 군
gen 겐
gon 곤
san 산
shin 신
sun 순
sen 센
son 손
zan 잔
jin 진
jun 준
zen 젠
zon 존
tan 탄
chin 친
tsun 츤
ten 텐
chen 첸
chon 촌
ton 톤
dan 단
din 딘
dun 둔
den 덴
don 돈
nan 난
nin 닌
nun 눈
nen 넨
non 논
han 한
hin 힌
hun 훈
hen 헨
hon 혼
ban 반
bin 빈
bun 분
ben 벤
bon 본
pan 판
phin 핀
pun 푼
pen 펜
pon 폰
man 만
min 민
mun 문
men 멘
mon 몬
yan 얀
yun 윤
yen 옌
yon 욘
ran 란
rin 린
run 룬
ren 렌
ron 론
wan 완
kya 캬
kyu 큐
kye 켸
kyo 쿄
gya 갸
gyu 규
gye 계
gyo 교
sha 샤
shu 슈
sho 쇼
jya 쟈
ju 쥬
juu 쥬
jyo 죠
tya 탸
tyu 튜
tyo 툐
dya 댜
dyu 듀
dyo 됴
nya 냐
nyu 뉴
nye 녜
nyo 뇨
hya 햐
hyu 휴
hyo 효
pya 퍄
pyu 퓨
pyo 표
bya 뱌
byu 뷰
byo 뵤
mya 먀
myo 묘
myu 뮤
rya 랴
ryo 료
ryu 류
kyan 캰
kyun 큔
kyon 쿈
gyan 갼
gyun 균
gyon 굔
syan 샨
shun 슌
shon 숀
jyan 쟌
jyon 죤
hyon 횬

